month,protocol,asset,deposits_usd,borrows_usd,withdrawals_usd,repayments_usd,avg_tvl_usd,active_user_days
2023-01-01,aave,USDC,18366571.79,9637524.68,5288646.1,668728.17,7618813.75,281.0
2023-01-01,compound,USDC,39208371.95,83983735.74,46373137.87,45350984.51,154921181.12,919.0
2023-02-01,aave,USDC,67847096.09,41156462.21,28067980.48,10276969.77,34841462.6,1381.0
2023-02-01,aave,USDT,6014593.83,5294513.35,1849159.97,2215399.32,1467640.53,217.0
2023-02-01,compound,USDC,138339483.96,65966667.67,67022590.68,51614461.98,188926594.12,1022.0
2023-03-01,aave,USDC,278080870.01,85265743.55,218241559.23,57928933.67,86146380.38,2713.0
2023-03-01,aave,USDT,160281947.39,116175426.47,105799817.65,78081998.76,29968293.26,1727.0
2023-03-01,compound,USDC,105800827.2,93900937.34,142639068.79,90933464.31,186751673.76,1356.0
2023-03-01,spark,USDC,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,aave,USDC,173890353.44,81263746.75,160416739.0,35737314.08,126275032.72,1663.0
2023-04-01,aave,USDT,66720476.22,49170298.7,58356504.98,40880923.09,60713692.62,758.0
2023-04-01,compound,USDC,112771696.55,152554843.7,41176291.28,65902917.11,225421788.78,924.0
2023-05-01,aave,USDC,146340791.78,73578379.73,111705771.62,42168144.35,152282758.89,1146.0
2023-05-01,aave,USDT,71165328.69,75450154.33,60576715.71,69161646.99,70660517.19,644.0
2023-05-01,compound,USDC,69790873.6,37127649.39,83535777.17,39611449.39,257416955.41,605.0
2023-06-01,aave,USDC,815710072.21,143242843.76,755855928.85,98615539.43,198249700.59,2177.0
2023-06-01,aave,USDT,251831607.19,150728695.88,164964415.28,109075163.93,119620116.2,1183.0
2023-06-01,compound,USDC,138918387.33,74769133.7,173129862.09,80216545.79,207966205.98,1000.0
2023-06-01,spark,USDC,2999.3,0.0,2999.3,0.0,0.0,1.0
2023-07-01,aave,USDC,691467429.56,160630981.47,660465124.97,115094591.6,260336070.07,2473.0
2023-07-01,aave,USDT,159629756.99,87061856.97,175008802.88,60654765.69,158477084.24,1283.0
2023-07-01,compound,USDC,327328336.4,256566514.89,135412110.87,52237417.4,344445993.38,1275.0
2023-07-01,spark,USDC,632.11,0.0,632.11,0.0,0.0,1.0
2023-08-01,aave,USDC,329365303.89,157624975.45,312125881.73,143693339.61,278306068.01,3050.0
2023-08-01,aave,USDT,197791048.11,206018094.02,137761719.44,164978651.36,194358602.31,1795.0
2023-08-01,compound,USDC,113062220.3,76376358.97,199506741.17,147201691.22,363298592.22,1135.0
2023-08-01,spark,USDC,416630.09,0.0,416627.03,0.0,819.0,7.0
2023-09-01,aave,USDC,133183609.81,116226269.94,105095998.83,88362926.32,288934980.54,2570.0
2023-09-01,aave,USDT,152120295.54,100946131.91,121855215.72,71889838.63,228303918.1,1508.0
2023-09-01,compound,USDC,63430317.52,46129491.53,47166081.56,38456907.58,323118517.25,981.0
2023-09-01,spark,USDC,225291.37,0.0,225281.37,0.0,13.06,2.0
2023-10-01,aave,USDC,314606263.76,209287356.97,257349150.1,159264263.0,329716101.51,3837.0
2023-10-01,aave,USDT,251364522.98,223374491.31,193128391.0,176477113.6,270435870.57,2358.0
2023-10-01,compound,USDC,175271077.45,110706732.43,146420484.59,66079332.49,336652609.5,1536.0
2023-10-01,spark,USDC,236957.16,152598.81,136241.97,52446.75,89206.52,17.0
2023-10-01,spark,USDT,60022.51,44459.94,0.0,0.0,52881.74,8.0
2023-11-01,aave,USDC,453793432.83,304680119.79,383737986.89,235194970.46,392792304.35,4473.0
2023-11-01,aave,USDT,237117740.73,240264192.22,212394303.86,185715840.98,314354815.63,2801.0
2023-11-01,compound,USDC,124631044.2,162190784.8,119750650.39,152445818.93,376447145.39,1864.0
2023-11-01,spark,USDC,675526.02,302785.87,552240.38,269428.65,144246.65,53.0
2023-11-01,spark,USDT,5219004.8,104056.06,5205668.08,87170.1,64305.12,29.0
2023-12-01,aave,USDC,483620187.78,336816427.18,417497365.45,276038080.96,458542699.36,4545.0
2023-12-01,aave,USDT,474304542.56,499512813.76,364913973.34,397313687.67,397655364.74,3724.0
2023-12-01,compound,USDC,155621671.48,109055155.48,143712411.75,94931524.81,388395040.59,1975.0
2023-12-01,spark,USDC,1606316.08,635162.91,1424580.28,398918.44,306894.86,100.0
2023-12-01,spark,USDT,246.36,54290.6,0.0,43661.53,73918.9,14.0
2024-01-01,aave,USDC,636865054.9,500448997.1,535859105.17,400857148.77,573083590.58,4959.0
2024-01-01,aave,USDT,804853681.02,769474783.76,678823471.05,689081954.56,554826926.18,4223.0
2024-01-01,compound,USDC,228218436.29,157589979.91,226296937.59,150156212.83,397764824.34,2001.0
