date,exchange,asset,symbol,open,high,low,close,volume,volume_brl
2023-03-11,Mercado Bitcoin,USDT,USDT/BRL,4.7,5.21,4.7,5.2099,1630.4167029,8494.30798043871
2023-03-12,Mercado Bitcoin,USDT,USDT/BRL,5.2099,5.21,5.08880001,5.17941,29113.9839714,150793.2597213089
2023-03-13,Mercado Bitcoin,USDT,USDT/BRL,5.14001,5.89,5.14,5.23218,41781.69979591,218609.37403816436
2023-03-14,Mercado Bitcoin,USDT,USDT/BRL,5.22,5.295,5.1726,5.295,25380.81894161,134391.43629582494
2023-03-15,Mercado Bitcoin,USDT,USDT/BRL,5.22026,5.35,5.2,5.30236,57314.91732609,303904.32503316656
2023-03-16,Mercado Bitcoin,USDT,USDT/BRL,5.262,5.34997,5.20003,5.28306,112454.52551205,594104.0055516908
2023-03-17,Mercado Bitcoin,USDT,USDT/BRL,5.28253,5.30896,5.2,5.2301,45923.11735403,240182.4960733123
2023-03-18,Mercado Bitcoin,USDT,USDT/BRL,5.29936,5.34,5.2225,5.27807,16396.94317435,86544.21386024149
2023-03-19,Mercado Bitcoin,USDT,USDT/BRL,5.28606,5.294,5.25,5.2509,13627.68616875,71557.61730348937
2023-03-20,Mercado Bitcoin,USDT,USDT/BRL,5.29399,5.2995,5.22082,5.29276,14997.60317192,79378.7141642113
2023-03-21,Mercado Bitcoin,USDT,USDT/BRL,5.22532,5.3399,5.222,5.23299,38694.14602656,202486.07921552824
2023-03-22,Mercado Bitcoin,USDT,USDT/BRL,5.28194,5.98,5.201,5.33977,99497.51177689,531293.8284608838
2023-03-23,Mercado Bitcoin,USDT,USDT/BRL,5.33977,5.33977,5.22002,5.23691,17199.18811264,90070.60021896554
2023-03-24,Mercado Bitcoin,USDT,USDT/BRL,5.23016,5.55976,5.23016,5.3798999,8521.66840726,45845.72301205123
2023-03-25,Mercado Bitcoin,USDT,USDT/BRL,5.29045,5.3995,5.29,5.29046,4729.40202562,25020.712240461587
2023-03-26,Mercado Bitcoin,USDT,USDT/BRL,5.29046,5.3649,5.29,5.31,11302.64361314,60017.037585773396
2023-03-27,Mercado Bitcoin,USDT,USDT/BRL,5.31,5.391,5.2402,5.26444948,22683.05263723,119413.7846608781
2023-03-28,Mercado Bitcoin,USDT,USDT/BRL,5.26622993,5.34,5.19,5.21382118,67874.45922856,353885.2931069126
2023-03-29,Mercado Bitcoin,USDT,USDT/BRL,5.2147358,5.31999,5.19,5.22888779,36658.96793954,191685.62985306216
2023-03-30,Mercado Bitcoin,USDT,USDT/BRL,5.22,5.28799,5.08,5.13645,74345.77105153,381873.3357176313
2023-03-31,Mercado Bitcoin,USDT,USDT/BRL,5.1084201,5.20976,5.10004,5.14044,18466.78090734,94927.37924732683
2023-04-01,Mercado Bitcoin,USDT,USDT/BRL,5.13959,5.14146,5.11,5.12926,2810.49493398,14415.759245066256
2023-04-02,Mercado Bitcoin,USDT,USDT/BRL,5.11006,5.15,5.1,5.14443672,19092.88491308,98222.13823758277
2023-04-03,Mercado Bitcoin,USDT,USDT/BRL,5.10272,5.1755,5.0203,5.1019873,29758.52665841,151827.62507791925
2023-04-04,Mercado Bitcoin,USDT,USDT/BRL,5.12131186,5.13850276,5.03320266,5.11235,35900.62032437,183536.53631529296
2023-04-05,Mercado Bitcoin,USDT,USDT/BRL,5.07706,5.12951,5.07,5.12441547,6112.3928185,31322.440317838304
2023-04-06,Mercado Bitcoin,USDT,USDT/BRL,5.0701,5.12837752,5.07,5.1045368,15847.77834489,80895.5677597341
2023-04-07,Mercado Bitcoin,USDT,USDT/BRL,5.0847,5.11584,5.07481236,5.09094,27067.95961669,137801.3583309918
2023-04-08,Mercado Bitcoin,USDT,USDT/BRL,5.09,5.10181546,5.07001,5.0802,12767.71706666,64862.55624204612
2023-04-09,Mercado Bitcoin,USDT,USDT/BRL,5.0711,5.1035,5.07001,5.07001,9372.50052661,47518.67139491796
2023-04-10,Mercado Bitcoin,USDT,USDT/BRL,5.0701,5.09899705,5.07,5.07463,21211.61346999,107641.09006321535
2023-04-11,Mercado Bitcoin,USDT,USDT/BRL,5.07463,5.19999,4.90512,5.06189,65349.15309612,330790.22456571885
2023-04-12,Mercado Bitcoin,USDT,USDT/BRL,5.05959,5.05959,4.91,4.98768,44374.84670117,221327.53539449157
2023-04-13,Mercado Bitcoin,USDT,USDT/BRL,4.98746,5.0997,4.93001,4.96104,51183.76797922,253924.72029562958
2023-04-14,Mercado Bitcoin,USDT,USDT/BRL,4.95892,5.00224794,4.93432263,4.95,13852.56563809,68570.1999085455
2023-04-15,Mercado Bitcoin,USDT,USDT/BRL,4.94751,5.04999,4.93200344,4.9756,11844.75307288,58934.75338942173
2023-04-16,Mercado Bitcoin,USDT,USDT/BRL,4.9755,5.0436109,4.93001,4.95801,5680.50036635,28163.977621366965
2023-04-17,Mercado Bitcoin,USDT,USDT/BRL,4.95964,5.0446855,4.93,4.97733334,45950.64547289,228711.67970673548
2023-04-18,Mercado Bitcoin,USDT,USDT/BRL,4.97236,5.01885,4.81025,5.00512,50601.66006138,253267.38080641424
2023-04-19,Mercado Bitcoin,USDT,USDT/BRL,4.91238,5.17999,4.91238,5.12,42322.07578017,216689.0279944704
2023-04-20,Mercado Bitcoin,USDT,USDT/BRL,5.10854,5.1567,5.01,5.09995,40735.41294307,207748.5692390098
2023-04-21,Mercado Bitcoin,USDT,USDT/BRL,5.08673,5.18,5.0808,5.14771,37672.39442499,193926.56150546527
2023-04-22,Mercado Bitcoin,USDT,USDT/BRL,5.11838228,5.1755,5.1100001,5.12048,6343.21669454,32480.31422005818
2023-04-23,Mercado Bitcoin,USDT,USDT/BRL,5.12005,5.1999,5.11001,5.14265981,24846.80957861,127778.68902664067
2023-04-24,Mercado Bitcoin,USDT,USDT/BRL,5.11015,5.17,5.01995,5.13381,37980.34113765,194983.85513587896
2023-04-25,Mercado Bitcoin,USDT,USDT/BRL,5.068223,5.2,5.01,5.08871,67082.85637784,341365.2020784782
2023-04-26,Mercado Bitcoin,USDT,USDT/BRL,5.07568,5.1655,5.013,5.09123211,53536.48455296,272566.66921254894
2023-04-27,Mercado Bitcoin,USDT,USDT/BRL,5.0816,5.1178,4.98833,4.9991,38337.08808994,191650.93707041905
2023-04-28,Mercado Bitcoin,USDT,USDT/BRL,5.0098544,5.09379,4.92,5.03488523,27161.53508613,136755.21182928272
2023-04-29,Mercado Bitcoin,USDT,USDT/BRL,5.03353156,5.04693753,4.95314471,5.02941,11756.47424506,59128.12913284722
2023-04-30,Mercado Bitcoin,USDT,USDT/BRL,5.01001,5.05797,5.01000073,5.02270089,1047.59854043,5261.774121380462
2023-05-01,Mercado Bitcoin,USDT,USDT/BRL,5.02374021,5.08625807,5.01043363,5.04664,8329.59239097,42036.45414396484
2023-05-02,Mercado Bitcoin,USDT,USDT/BRL,5.04664,5.09679,4.9662,5.06825,70788.57272882,358774.183732842
2023-05-03,Mercado Bitcoin,USDT,USDT/BRL,5.07480705,5.07480705,4.9662,5.02334898,22023.05957664,110629.51386079377
2023-05-04,Mercado Bitcoin,USDT,USDT/BRL,5.02406,5.04712,5.00007,5.02353,38049.6435145,191143.52568439618
2023-05-05,Mercado Bitcoin,USDT,USDT/BRL,5.01372,5.02549,4.96017,4.98914,24067.65681562,120076.90932508236
2023-05-06,Mercado Bitcoin,USDT,USDT/BRL,4.99748,5.01677838,4.95988,5.00852,11397.12202353,57082.71359729048
2023-05-07,Mercado Bitcoin,USDT,USDT/BRL,4.98212604,5.01818,4.98171,5.01757558,3670.14462272,18415.228034028183
