month,receita_stablecoin_brl,exchange_volume_brl_estimated,deposits_usd,borrows_usd,selic_meta,usd_brl
2023-01-01,15253425196.509985,29836529.54283758,57574943.74,93621260.41999999,13.75,5.200081818181818
2023-02-01,13661815240.61007,37338042.3288527,212201173.88,112417643.23,13.75,5.171088888888889
2023-03-01,17784378117.27992,44297790.06273588,544163644.6,295342107.36,13.75,5.210860869565217
2023-04-01,20076658357.72008,28772557.424112972,353382526.21,282988889.15,13.75,5.019133333333333
2023-05-01,16114359523.270056,40951016.909492075,287296994.07,186156183.45,13.75,4.982240909090909
2023-06-01,19164296842.030075,45110744.291945264,1206463066.03,368740673.34,13.75,4.850966666666666
2023-07-01,20128267472.84002,43459238.58942286,1178426155.06,504259353.33,13.75,4.800233333333334
2023-08-01,21782595817.219997,52177788.73036083,640635202.39,440019428.44,13.25,4.90294347826087
2023-09-01,15307991152.340061,48903889.476648234,348959514.24,263301893.38,12.75,4.93639
2023-10-01,19574369180.459503,75161973.79012747,741538843.86,543565639.46,12.75,5.064242857142856
2023-11-01,19854501525.88002,84082388.24585561,821436748.5799999,707541938.74,12.25,4.897735
2023-12-01,21596752184.13997,123069640.42356996,1115152964.26,946073849.93,11.75,4.89664
2024-01-01,22944849957.509975,123006316.57653621,1670690416.54,1428058084.46,11.75,4.913795454545454
2024-02-01,15851557401.039818,93443550.86815701,1337520239.73,1182658117.81,11.25,4.96378947368421
2024-03-01,20405639366.409695,140159224.97928363,3033895642.04,2323968121.62,10.75,4.979535
2024-04-01,21414691892.150177,132483899.22246218,2559890814.95,1431481676.95,10.75,5.128486363636363
2024-05-01,21802333023.19005,143288982.89451542,2773300422.94,2324722374.02,10.5,5.132447619047619
2024-06-01,20996451940.550014,125493596.1916843,2538620360.08,1512248372.89,10.5,5.388375
2024-07-01,22257993656.22987,218347030.75751746,3124965195.76,2914953989.58,10.5,5.541447826086957
2024-08-01,24251414663.099808,263116137.07980987,4348212997.27,3156879590.39,10.5,5.552013636363636
2024-09-01,28013367217.060287,373221117.8100761,3441764399.23,2508041547.1,10.75,5.540966666666667
2024-10-01,24095031853.370068,540292823.0224481,2707541912.06,4201301456.58,10.75,5.623508695652174
2024-11-01,21037286606.529976,716634962.6118429,4523733503.16,7357851828.77,11.25,5.806457894736842
2024-12-01,30405906139.39015,622777105.4733847,5952634938.64,5823096978.7699995,12.25,6.096395238095239
2025-01-01,30057802531.651653,529038457.25960475,8225917029.11,3758664543.22,13.25,6.021172727272727
2025-02-01,24620638970.83084,422801312.36125004,9095654857.52,4458915223.77,13.25,5.765045
2025-03-01,27009815181.260216,403067639.08326155,6008836179.4800005,5068485110.99,14.25,5.746215789473684
2025-04-01,28104076079.799915,508220921.3268359,8871168633.58,7599852144.219999,14.25,5.783085
2025-05-01,24873681955.80951,589558775.3208911,8285279106.32,11946678530.52,14.75,5.666780952380952
2025-06-01,30382551811.980217,713460761.5996912,21050295591.66,9789402562.07,15.0,5.546455
2025-07-01,30432019598.869892,568628068.7256658,23276873683.09,19631935272.199997,15.0,5.52788695652174
2025-08-01,28308736920.7599,528225868.3091076,16834087991.13,21377934830.84,15.0,5.446323809523809
2025-09-01,28123043175.180073,527305798.69291544,15314114170.449999,18432247968.56,15.0,5.366809090909091
2025-10-01,37396130195.34087,951216703.3000313,17463684413.61,14867250666.82,15.0,5.384926086956522
2025-11-01,40569755612.838356,917395306.2081714,14852569399.67,10798715639.33,15.0,5.340252631578947
2025-12-01,34035602505.19064,907249093.982229,11847783651.460001,6925122553.08,15.0,5.452481818181818
2026-01-01,33078495401.870247,1222970484.7334108,13172263944.17,6641435300.64,15.0,5.337419047619048
2026-02-01,31854293432.0286,1233339828.1830482,15503443079.310001,9211927860.25,15.0,5.200011111111111
2026-03-01,34872520619.52474,1267801452.614279,16549437949.91,8632382521.44,14.75,5.230981818181818
2026-04-01,37736398310.58929,1031614536.2340567,14879746557.8,6784161975.599999,14.5,5.032475
2026-05-01,52228092267.00156,1279850430.1501,9908311356.39,3952956550.97,14.5,4.9831
2026-06-01,48020507820.549805,2182899237.1047764,9873505687.54,4073076835.29,14.25,5.126971428571428
2026-07-01,,14379150648.895,11438547189.099998,4257366309.88,14.25,5.1133434782608695
2026-08-01,,9978074139.348394,10408937343.96,3102509771.94,14.0,5.152561904761905
2026-09-01,,4503322936.3539,4163055300.92,1382737079.68,14.0,5.1114
