month,asset,operation_count,total_value_brl,average_value_brl,stablecoin_flag,share_of_monthly_crypto_volume
2020-08-01,AAVE,1,59638.94,59638.94,False,6.351426726845818e-06
2021-01-01,AAVE,32,296891.7700000001,9277.867812500002,False,1.9074002366550295e-05
2021-02-01,AAVE,129,974326.69,7552.92007751938,False,5.817786708962558e-05
2021-03-01,AAVE,103,64072.38999999999,622.0620388349514,False,3.5318580341153075e-06
2021-04-01,AAVE,2859,2948464.5100000016,1031.2922385449465,False,0.00012940385357641866
2021-05-01,AAVE,59256,61860554.280000135,1043.954270959905,False,0.002380936759793016
2021-06-01,AAVE,25401,18010101.160000112,709.0311861737771,False,0.0010884710794902067
2021-07-01,AAVE,26930,20536073.530000016,762.5723553657637,False,0.0015088898588569643
2021-08-01,AAVE,28661,22763849.690000176,794.2447817591911,False,0.0014116527747536577
2021-09-01,AAVE,20999,16247672.880000006,773.7355531215775,False,0.0012744779115207478
2021-10-01,AAVE,23243,20454895.560000103,880.0454141031753,False,0.0014643273431995023
2021-11-01,AAVE,20521,13956242.730000071,680.0956449490801,False,0.0007673657706409728
2021-12-01,AAVE,14111,9001406.05000005,637.8999397633087,False,0.0006044946509782849
2022-01-01,AAVE,10788,7027490.850000032,651.417394327033,False,0.0004677860221193074
2022-02-01,AAVE,5828,3025437.629999993,519.1210758407675,False,0.00023549484824837342
2022-03-01,AAVE,10743,7271146.680000009,676.8264618821567,False,0.0005502001123360814
2022-04-01,AAVE,9442,7126368.919999994,754.7520567676333,False,0.0005396762973863209
2022-05-01,AAVE,9636,35073104.59,3639.799147986716,False,0.0020326296089027635
2022-06-01,AAVE,9318,5628916.790000031,604.090662159265,False,0.00037806332765241794
2022-07-01,AAVE,10091,5621278.939999994,557.0586601922499,False,0.0003896976937247947
2022-08-01,AAVE,7852,3920630.799999996,499.3161996943449,False,0.00026536571712491164
2022-09-01,AAVE,5129,2930971.5600000024,571.4508793137069,False,0.00023898594356975465
2022-10-01,AAVE,4653,1962271.27,421.7217429615301,False,0.00014203489566209302
2022-11-01,AAVE,12685,2640025.3899999927,208.121828143476,False,0.00016836413320098592
2022-12-01,AAVE,28229,1514105.7199999988,53.63653406071766,False,0.00011024220959719696
2023-01-01,AAVE,50329,4705243.199999996,93.4897017624033,False,0.00027508932298693506
2023-02-01,AAVE,33996,4716632.799999991,138.74081656665464,False,0.00030436522639908103
2023-03-01,AAVE,22591,3122750.2199999974,138.22983577530863,False,0.00015359550874817883
2023-04-01,AAVE,20279,2247310.0000000005,110.81956703979488,False,0.00010090595415141852
