asset,month,operation_count,total_value_brl,average_value_brl
AAVE,2020-08-01,1,59638.94,59638.94
AAVE,2021-01-01,32,296891.7700000001,9277.867812500002
AAVE,2021-02-01,129,974326.6900000001,7552.92007751938
AAVE,2021-03-01,103,64072.38999999999,622.0620388349514
AAVE,2021-04-01,2859,2948464.5100000016,1031.2922385449463
AAVE,2021-05-01,59256,61860554.280000135,1043.954270959905
AAVE,2021-06-01,25401,18010101.160000112,709.0311861737771
AAVE,2021-07-01,26930,20536073.530000016,762.5723553657637
AAVE,2021-08-01,28661,22763849.690000176,794.2447817591911
AAVE,2021-09-01,20999,16247672.880000006,773.7355531215775
AAVE,2021-10-01,23243,20454895.560000103,880.0454141031753
AAVE,2021-11-01,20521,13956242.730000073,680.0956449490801
AAVE,2021-12-01,14111,9001406.05000005,637.8999397633087
AAVE,2022-01-01,10788,7027490.850000032,651.417394327033
AAVE,2022-02-01,5828,3025437.629999993,519.1210758407675
AAVE,2022-03-01,10743,7271146.680000009,676.8264618821567
AAVE,2022-04-01,9442,7126368.919999994,754.7520567676333
AAVE,2022-05-01,9636,35073104.589999996,3639.799147986716
AAVE,2022-06-01,9318,5628916.790000031,604.090662159265
AAVE,2022-07-01,10091,5621278.939999994,557.0586601922499
AAVE,2022-08-01,7852,3920630.7999999956,499.31619969434485
AAVE,2022-09-01,5129,2930971.5600000024,571.4508793137069
AAVE,2022-10-01,4653,1962271.2699999998,421.72174296153014
AAVE,2022-11-01,12685,2640025.3899999927,208.12182814347597
AAVE,2022-12-01,28229,1514105.7199999988,53.63653406071766
AAVE,2023-01-01,50329,4705243.1999999955,93.4897017624033
AAVE,2023-02-01,33996,4716632.799999991,138.74081656665464
AAVE,2023-03-01,22591,3122750.2199999974,138.22983577530863
AAVE,2023-04-01,20279,2247310.0000000005,110.81956703979489
AAVE,2023-05-01,14249,1324898.939999972,92.98188925538437
AAVE,2023-06-01,20202,3436567.4800000214,170.11026037026144
AAVE,2023-07-01,27737,5062978.919999978,182.53520279770623
AAVE,2023-08-01,20278,3891275.4499999695,191.89641236808214
AAVE,2023-09-01,32940,3616155.3899999647,109.78006648451624
AAVE,2023-10-01,104105,13080126.430000344,125.64359473608707
AAVE,2023-11-01,109538,20714725.7800004,189.10995070204314
AAVE,2023-12-01,48966,10883209.099999977,222.26052975533997
AAVE,2024-01-01,15160,8072867.549999992,532.5110521108174
AAVE,2024-02-01,57179,25729576.630000927,449.98297679219513
AAVE,2024-03-01,112733,53579101.7400007,475.27433617486184
AAVE,2024-04-01,65550,27686061.530000143,422.36554584287023
AAVE,2024-05-01,49196,21455935.14000002,436.1317005447601
AAVE,2024-06-01,49152,24149328.42000017,491.3193444824253
AAVE,2024-07-01,89317,41086497.88000074,460.0075895966136
AAVE,2024-08-01,144288,78937132.53000115,547.0803707169075
AAVE,2024-09-01,151195,82400200.33000153,544.9928921591423
AAVE,2024-10-01,108545,66790200.80000084,615.3226846008645
AAVE,2024-11-01,283020,241098078.65000135,851.8764703907899
AAVE,2024-12-01,503434,508578345.37999785,1010.2185100330885
AAVE,2025-01-01,299787,329048533.6200022,1097.6077469003067
AAVE,2025-02-01,154325,154961631.7600014,1004.1252665478788
AAVE,2025-03-01,199352,197018995.96000412,988.2970622818137
AAVE,2025-04-01,120123,76058046.05999868,633.1680532454125
AAVE,2025-05-01,185307,198706200.08000183,1072.3081161532043
AAVE,2025-06-01,133616,142118307.5700017,1063.6324060741356
AAVE,2025-07-01,153301,169933685.73000094,1108.4969160670898
AAVE,2025-08-01,126489,139227857.04000047,1100.7111846880002
AAVE,2025-09-01,97033,94960339.77000113,978.6396356909621
AAVE,2025-10-01,100628,98911031.48000064,982.9374675040808
AAVE,2025-11-01,88978,69104894.32000099,776.6514680033378
AAVE,2025-12-01,60270,24891735.570000123,413.0037426580409
AAVE,2026-01-01,74962,39902925.77000037,532.3087133481013
